Date,Country,FDI_Inflows_MillionUSD,GDP_Growth,Inflation,Interest_Rate,Oil_Price,USD_Index,Gold_Price,Platinum_Price
2005-01-01,Nigeria,86.78766916739015,3.0194010547871795,16.67353376812536,19.348212483564446,48.20000076293945,83.5999984741211,421.79998779296875,873.7999877929688
2005-02-01,Nigeria,86.99253874611637,2.629177526393172,15.234109127630134,17.990546435747785,51.75,82.51000213623047,436.5,866.0
2005-03-01,Nigeria,109.03220209701851,3.4470132616377755,10.997438420250091,13.701241458130657,55.400001525878906,84.05999755859375,428.70001220703125,870.5999755859375
2005-04-01,Nigeria,137.36173401765308,4.043809848294523,12.251743966553361,14.819748581713453,49.720001220703125,84.43000030517578,435.0,868.5999755859375
2005-05-01,Nigeria,49.81725540074166,2.0126069116517384,15.894063267954065,18.91832408192648,49.720001220703125,87.76000213623047,435.0,868.5999755859375
2005-06-01,Nigeria,99.29506000830153,2.1976793917559188,12.83965610569387,15.42418104748835,56.5,89.11000061035156,435.8999938964844,883.5
2005-07-01,Nigeria,198.76023235329927,4.169054527253715,13.581201878592486,16.716430291482407,60.56999969482422,89.3499984741211,429.8999938964844,897.9000244140625
2005-08-01,Nigeria,148.03362668657073,3.8685212504377544,14.227690454925128,17.202571400200558,68.94000244140625,87.58000183105469,433.79998779296875,894.5
2005-09-01,Nigeria,148.84281622218646,2.354039493295289,12.43258454598523,15.313110522552027,66.23999786376953,89.5199966430664,469.0,930.2999877929688
2005-10-01,Nigeria,101.88912325913338,3.037773968857905,13.391824981478347,15.938043150457549,59.7599983215332,90.06999969482422,465.1000061035156,942.4000244140625
2005-11-01,Nigeria,107.64784565526035,1.801786804327771,9.237205587732504,11.948819922448337,57.31999969482422,91.56999969482422,494.6000061035156,952.5
2005-12-01,Nigeria,144.12036311509559,1.994876820806112,12.46598012759551,15.843675740508388,61.040000915527344,91.16999816894531,517.0999755859375,973.0
2006-01-01,Nigeria,104.39679119676953,2.884425592284164,13.178934976768177,16.429393570580366,61.040000915527344,88.95999908447266,517.0999755859375,973.0
2006-02-01,Nigeria,117.29728108839583,0.650712831292025,12.802968811406712,15.314191189007436,61.40999984741211,90.11000061035156,561.5999755859375,973.0
2006-03-01,Nigeria,92.31224764533133,1.0983498444303965,16.899442033682256,19.94910818639687,66.62999725341797,89.7300033569336,581.7999877929688,1059.4000244140625
2006-04-01,Nigeria,136.18842563595206,2.7881793110456927,11.460698277536205,14.836391839222099,71.87999725341797,86.11000061035156,651.7999877929688,1163.300048828125
2006-05-01,Nigeria,146.21533931655983,2.4262456346030747,13.126810452652988,15.292107812092304,71.29000091552734,84.72000122070312,642.5,1246.800048828125
2006-06-01,Nigeria,187.03982014343887,3.8296771739167275,13.281272278970773,16.552952375160743,73.9800033569336,85.22000122070312,613.5,1246.699951171875
2006-07-01,Nigeria,142.9998710312398,2.6191677481913835,15.852326059503481,18.52101418003056,74.4000015258789,85.30000305175781,634.2000122070312,1242.0
2006-08-01,Nigeria,91.26387481773156,1.9546282857629802,11.86889263034935,15.15419196464593,70.26000213623047,85.05000305175781,625.9000244140625,1242.0
2006-09-01,Nigeria,130.51565671431177,4.435833559760133,14.526828848352373,17.145199270081115,62.90999984741211,85.97000122070312,598.5999755859375,1141.199951171875
2006-10-01,Nigeria,113.10045707854512,2.7978959164075716,13.616401633325594,15.713960582993336,62.90999984741211,85.31999969482422,598.5999755859375,1141.199951171875
2006-11-01,Nigeria,136.17253876378965,3.2983015962570486,11.87858622529955,14.064815006357968,63.130001068115234,82.91999816894531,646.9000244140625,1150.5999755859375
2006-12-01,Nigeria,99.34108127941803,1.649341607572142,14.868484407608834,17.892526880939524,61.04999923706055,83.72000122070312,635.2000122070312,1139.300048828125
2007-01-01,Nigeria,100.29224422132432,2.329364186762703,14.133907449978853,17.263768700839595,58.13999938964844,84.61000061035156,652.0,1180.699951171875
2007-02-01,Nigeria,100.47182603015558,3.229678416051276,12.48483547623617,15.032677163683967,61.790000915527344,83.56999969482422,669.4000244140625,1193.0
2007-03-01,Nigeria,119.75853222188582,2.1986378473447497,14.005384203812653,17.32468043320134,65.87000274658203,82.93000030517578,663.0,1248.300048828125
2007-04-01,Nigeria,165.44639012548564,3.847116188165178,12.498471510624771,14.667711479490292,65.87000274658203,81.44999694824219,663.0,1248.300048828125
2007-05-01,Nigeria,131.1307731694434,2.719590701322706,13.81048066721552,16.777440767891864,64.01000213623047,82.30000305175781,661.0,1248.300048828125
2007-06-01,Nigeria,167.51545332969198,3.3511457484524927,14.317623137555325,16.712115037674096,70.68000030517578,81.91999816894531,648.0999755859375,1279.0
2007-07-01,Nigeria,150.18590884063295,3.135764389374801,15.811143029530628,18.485224975629546,70.68000030517578,80.7699966430664,648.0999755859375,1279.0
2007-08-01,Nigeria,228.75083072707025,5.7348652214095726,10.275844141054941,13.299543476713149,74.04000091552734,80.79000091552734,673.0,1271.5999755859375
2007-09-01,Nigeria,179.3938754877572,4.454550071289555,15.972275026339624,18.542068343697647,81.66000366210938,77.72000122070312,742.7999877929688,1395.199951171875
